"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"International Council B'NAI B'RITH","ICBB","B'NAI B'RITH Conseil International","BBCI","Dautzenberg,36/bte 3","1050","Bruxelles","Belgium","+32 2 646 92 98","+32 2 646 89 49","www;bnaibritheurope.org","direction@bnaibritheurope.org","Member fees, Private donations","Association","Erika","Van Gelder","Amsterdam","Ernest","Simon","","1843","3","7 000","","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights, Equal democracy","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Estonia, France, Germany, Hungary, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Sweden, Turkey, Greece, Latvia, Luxembourg, Ukraine, Serbia, Monaco, Russian Federation, United Kingdom, USA, Canada, Israel","Human rights, Promotion and defence of Human Rights, Legal protection, Economics and social rights, Children's rights, Gender equality, Fight against racism, Prevention of Torture, Trafficking in human beings, Democracy, Promotion of democratic values and education for democratic citizenship, local and regional democracy, Equal democracy, Elections, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Students, Children, Family, Disabled persons, The elderly, Migration, Intercommunity relations and integration, Roma and Travellers, Refugees, International Co-operation, Promotion of Peace, Conflict meditation, North-South Dialogue, Humanitarian aid, European integration, Education and Culture, Art, music, theatre, Education for Democratic Citizenship, Heritage, Cultural policies, Cultural diversity, Religion, Rule of Law, Fight against corruption, Strengthening of international public law, Health, Health and Ethics, Public Health, Environment and sustanable development, Natural and technological disasters, Media and Communication, Freedom of expression, Media pluralism, Access to information, Media and conflicts, Media and minorities, Media and violence, Youth, Rights of Minorities, Fight against Terrorism, Youth policy, Youth participation, Sport, Spectator violence, Intercultural Dialogue, Strengthening civil society, Prevention, Security, Security and access to Internet","2003"
"International Council for Game and Wildlife Conservation","CIC","Conseil international de la Chasse et de la Conservation du Gibier","CIC","P.O. Box 82","H-2092","BUDAKESZI","Hungary","+ 36 23 453 830","+ 36 23 453 832","www.cic-wildlife.org","","","Association","Bernard","Lozé","as above","Tamás","Marghescu","as above","0","0","0","","","","","","0"
"International Council of Environmental Law","ICEL","Conseil international du Droit de l'Environnement","CIDE","Godesberger Allee 108-112","53175","Bonn","Germany","++49/228-2692 240","++49/228-2692 251","www.i-c-e-l.org","icel@intlawpol.org","","Association","","","","","","","1969","0","227","","","","Austria, Belgium, Bulgaria, Croatia, Czech Republic, Danemark, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Romania, Slovenia, Switzerland, Sweden, Turkey, Greece, Liechtenstein, Georgia, Armenia, Ukraine, Serbia, Russian Federation, United Kingdom, USA, Canada","Human rights, Promotion and defence of Human Rights, Legal protection, Economics and social rights, Children's rights, Gender equality, Democracy, Promotion of democratic values and education for democratic citizenship, local and regional democracy, Social Cohension, Migration, International Co-operation, Promotion of Peace, Conflict meditation, North-South Dialogue, European integration, Education and Culture, Heritage, Cultural policies, Rule of Law, Strengthening of international public law, Environment and sustanable development, Environment protection, Land development, Countryside, Urban areas, Rural areas, Sustainable tourism, Conservation/ protection of animals, Natural and technological disasters, Other, Media and Communication, Access to information, Rights of Minorities, Intercultural Dialogue, Strengthening civil society","0"
"International Council of Jewish Women","ICJW","Conseil international des femmes juives","ICJW","5655 Silver Creek Valley Road #480","CA 95138","San Jose","USA","+1 408 274 8020","+1 408 274 0807","www.icjw.org","president@icjw.org","","Association","Robyn","LENN","P.O. Box 157, Roseville, New South Wales 2069, Australia
+61 2 9880 7577 - +61 2 9880 7578","","","","1919","0","0","English, French, Spanish, Hebrew","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Canada, Croatia, Czech Republic, Estonia, Finland, France, Germany, Hungary, Italy, Latvia, Lithuania, Netherlands, Romania, Russian Federation, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom, USA","Democracy, Education and Culture, Environment and sustanable development, Health, Human rights, International Co-operation, Media and Communication, Rule of Law, Social Cohension","19"
"International Council on Social Welfare Europe","ICSW Europe","Conseil international de l'Action sociale Europe","CIAS Europe","Stockholm University-Dept Social Work","SE 106 91","Stockholm","Sweden","+46 (0)8 16 3228","","www.icsw.org","jmhote@gmail.com","Member fees","Association","Christian","ROLLET","crollet3@gmail.com","Jean-Michel","HOTE","","2007","1","17","English","English, French, Spanish","Democracy, Social Cohesion and Global Challenges, Human Rights, Human Rights","Austria, Bulgaria, Cyprus, Danemark, Spain, Finland, France, Germany, Lithuania, Netherlands, Norway, Slovenia, Switzerland, Sweden, Georgia, Armenia","Human rights, Democracy, Social Cohension, International Co-operation","0"
"International Diabetes Federation - European Region","IDF Europe","Fédération internationale du diabète, European Region - IDF Europe","IDF Europe","166 chaussée de la Hulpe","1170","Brussels","Belgium","+32 2 537 18 89","+32 2 537 19 81","www.idf.org","info@idf.org","","Federation","Chris","DELICATA","Malte","","","","0","0","0","","","","","","0"
"International Falcon Movement","IFM","Mouvement international des Faucons","MIF","","","","Belgium","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"International Federation for Home Economics","IFHE","Fédération internationale pour l'Economie Familiale","FIEF","Kaiser Friedrich Str 13","53113","Bonn","Germany","+49 228 9212590","+49 228 9212591","http://www.ifhe.org/","office@ifhe.org","Member fees","Federation","Geraldine","HODELIN","Jamaica","Anne","VON LAUFENBERG-BEERM","Germany","0","3","1 560","English","Executive Committee","Democracy, Social Cohesion and Global Challenges, Education and Culture","Austria, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Switzerland, Sweden, Greece, Latvia, Malta, Moldova, United Kingdom, USA, Canada, South Africa","Social Cohension, Education and Culture, Health, Environment and sustanable development, Other","1970"
"International Federation for Housing and Planning","IFHP","Fédération Internationale pour l'Habitation, l'Urbanisme et l'Aménagement des Territoires","FIHUAT","Frederiksholms Kanal 30, st. mf","1220","Copenhagen K","Danemark","(31) 70 324 45 57","(31) 70 328 20 85","www.ifhp.org","info@ifhp.org; info@cofhuat.org;","Membership fees, Public funding","Foundation","Flemming","BORRESKOV","B| Sortedam Dossering 23 | DK-2200 Copenhagen N","Anette ","Galskjøt","IFHP Frederiksholms Kanal 30,st.mf. DK-1220 København K,","1913","10","1 600","English, French","English, German, French","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Armenia, Austria, Belgium, Bulgaria, Canada, Croatia, Czech Republic, Danemark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Israel, Italy, Latvia, Lithuania, Luxembourg, Malta, Montenegro, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Serbia, Slovakia, Slovenia, South Africa, Spain, Sweden, Switzerland, the former Yugoslav Republic of Macedonia, Turkey, United Kingdom, USA","Democracy, local and regional democracy, Strengthening civil society, Environment and sustanable development, Countryside, Environment protection, Land development, Natural and technological disasters, Other, Rural areas, Sustainable tourism, Urban areas, International Co-operation, North-South Dialogue, Social Cohension, Fight against poverty and social exclusion, Migration, Other, Youth, Youth participation","2003"
"International Federation for Human Rights","FIDH","Fédération internationale des Ligues des Droits de l'Homme","FIDH","17 passage de la Main d'Or","75011","PARIS","France","+ 33 1 43 55 25 18","+ 33 1 43 55 18 80","www.fidh.org","fidh@fidh.org","Member fees, Public funding, Private donations","Association","Souhayr","BELHASSEN","Ms","Antoine","BERNARD","Chief Executive Officer","1922","30","0","french, english, spanish","french, english, spanish","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Belgium, France, Netherlands, Switzerland","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Environment and sustanable development, Media and Communication","0"
"International Federation for Parents Education","IFPE","Fédération Internationale pour l'Education des Parents","FIEP","1, avenue Léon Journault","92318","Sèvres","France","","+33 1 46 26 69 27","fiep-ifpe.fr","pascal.trunck.epe57@modulonet.fr","","Association","Mary","Crowley","marycrowley@parent.freeserve.co.uk","Habib","Abdennebi","bahibabdennebi@yahoo.fr +33 4 77 21 67 43","0","0","0","","","","","","0"
"International Federation for Peace and Conciliation","IFPC","Federation Internationale pour la Paix et Conciliation","IFPC","prospekt Mira 36","129090","Moscow","Russian Federation","+ 7 495 6803576","+7 495 6801164","www.ifpc.ru","","Private donations","Federation","Victor","Kamyshanov","prospekt Mira, 36 Moscow 129090 Russian Federation","","","","1949","15","0","Russian, English","Russian","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Germany, Lithuania, Georgia, Azerbaijan, Armenia, Ukraine, Moldova, Russian Federation, Belarus","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development, Media and Communication, Youth, Other","2003"
"International Federation for Spina Bifida and Hydrocephalus","IF","Fédération internationale des Personnes atteintes de Spina-Bifida et d'Hydrocéphalie","IF","Cellebroersstraat 16","1000","Brussels","Belgium","3225020413","3225021129","www.ifglobal.org","info@ifglobal.org","Member fees, Public funding, Private donations","Federation","Margo","Whiteford","Cellebroersstraat 16 1000 Brussels Belgium","Lieven","Bauwens","Cellebroersstraat 16 1000 Brussels Belgium","1979","6","50","English","English, Dutch and others in the board of directors","","Austria, Belgium, Bulgaria, Croatia, Danemark, Spain, Estonia, Finland, France, Germany, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Switzerland, Slovakia, Sweden, Turkey, Greece, Luxembourg, Serbia, Russian Federation, United Kingdom, USA, Canada","Human rights, Promotion and defence of Human Rights, Children's rights, Other, Social Cohension, Fight against poverty and social exclusion, Disabled persons, International Co-operation, North-South Dialogue, Other, Health, Health and Ethics, Public Health, Youth, Rights of Minorities, Youth participation, Prevention","1985"
"International Federation for Therapy and Assistance through Mediation","FITRAM","Fédération internationale de Thérapie et de Relation d'Aide par la Médiation","FITRAM","principale","67330","Ernolsheim","France","+33 (0)3 88703442","+33 (0)3 88700568","www.fitram.eu","","Member fees, Private donations","Association","jean-pierre","Klein","23 rue Boyer 75020 Paris","marguerite","weith","50 rue principale F 67330 Ernolsheim","5","0","0","","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Spain, France, Germany, Poland, Romania, Slovakia, Luxembourg","Social Cohension, International Co-operation, Education and Culture, Health, Environment and sustanable development, Youth, Sport, Other","8"
"International Federation of Action by Christians for the Abolition of Torture","FIACAT","Fédération internationale de l'Action des Chrétiens pour l'Abolition de la Torture","FIACAT","27 rue de Maubeuge","75009","Paris","France","33142800160","+331 42 802 089","www.fiacat.org","fiacat@fiacat.org","Member fees, Public funding, Private donations","Federation","Sylvie","Bukhari de Pontual","27 rue de Maubeuge 75009 Paris","Sabrina","Aït-Aoudia","27 rue de Maubeuge 75009 Paris","1987","5","30","English","French","Human Rights","Belgium, Czech Republic, Spain, France, Germany, Italy, Netherlands, Switzerland, Sweden, Luxembourg, United Kingdom, USA, Canada","Human rights, Promotion and defence of Human Rights, Legal protection, Children's rights, Prevention of Torture, Trafficking in human beings, Rule of Law, Strengthening of international public law","0"
